employee_id,full_name,department,job_title,hire_date,base_salary,unused_pto_days,avg_burnout_score,flight_risk_level
EMP-1001,Employee 1,Finance,Financial Analyst,2022-01-30,89466,22,24,Low
EMP-1002,Employee 2,Engineering,Software Engineer,2022-06-14,121863,19,27,Low
EMP-1003,Employee 3,Product,Product Manager,2021-09-14,112942,16,26,Low
EMP-1004,Employee 4,Sales,Account Executive,2022-03-20,73415,3,28,Low
EMP-1005,Employee 5,Customer Success,CS Specialist,2024-08-08,82535,11,32,Low
EMP-1006,Employee 6,HR,HR Business Partner,2024-07-04,98815,21,28,Low
EMP-1007,Employee 7,Finance,Financial Analyst,2025-05-09,73503,8,25,Low
EMP-1008,Employee 8,Engineering,Software Engineer,2021-05-30,126015,26,31,Low
EMP-1009,Employee 9,Product,Product Manager,2022-11-21,114381,11,24,Low
EMP-1010,Employee 10,Sales,Account Executive,2024-02-21,75291,21,28,Low
EMP-1011,Employee 11,Customer Success,CS Specialist,2023-06-05,95667,2,29,Low
EMP-1012,Employee 12,HR,HR Business Partner,2023-07-04,78395,8,23,Low
EMP-1013,Employee 13,Finance,Financial Analyst,2023-05-06,66434,12,25,Low
EMP-1014,Employee 14,Engineering,Software Engineer,2023-09-24,116219,20,35,Low
EMP-1015,Employee 15,Product,Product Manager,2025-09-13,122294,23,27,Low
EMP-1016,Employee 16,Sales,Account Executive,2022-08-03,77767,26,22,Low
EMP-1017,Employee 17,Customer Success,CS Specialist,2022-06-06,90366,7,32,Low
EMP-1018,Employee 18,HR,HR Business Partner,2023-09-30,81205,11,27,Low
EMP-1019,Employee 19,Finance,Financial Analyst,2021-10-28,90640,19,28,Low
EMP-1020,Employee 20,Engineering,Software Engineer,2025-05-13,116240,22,32,Low
EMP-1021,Employee 21,Product,Product Manager,2024-11-29,140876,27,25,Low
EMP-1022,Employee 22,Sales,Account Executive,2021-11-16,80431,18,25,Low
EMP-1023,Employee 23,Customer Success,CS Specialist,2022-08-07,80488,18,27,Low
EMP-1024,Employee 24,HR,HR Business Partner,2025-11-03,78266,22,23,Low
EMP-1025,Employee 25,Finance,Financial Analyst,2024-03-04,89860,9,22,Low
EMP-1026,Employee 26,Engineering,Software Engineer,2025-10-09,104853,3,29,Low
EMP-1027,Employee 27,Product,Product Manager,2023-08-25,121526,11,25,Low
EMP-1028,Employee 28,Sales,Account Executive,2024-10-25,90449,2,24,Low
EMP-1029,Employee 29,Customer Success,CS Specialist,2023-06-22,66608,5,29,Low
EMP-1030,Employee 30,HR,HR Business Partner,2025-03-29,88231,17,21,Low
EMP-1031,Employee 31,Finance,Financial Analyst,2025-10-10,78529,8,24,Low
EMP-1032,Employee 32,Engineering,Software Engineer,2025-05-11,111348,25,29,Low
EMP-1033,Employee 33,Product,Product Manager,2025-05-03,110426,13,26,Low
EMP-1034,Employee 34,Sales,Account Executive,2022-05-14,89878,27,22,Low
EMP-1035,Employee 35,Customer Success,CS Specialist,2022-07-21,73326,5,32,Low
EMP-1036,Employee 36,HR,HR Business Partner,2021-03-26,84549,23,24,Low
EMP-1037,Employee 37,Finance,Financial Analyst,2022-09-19,70249,4,23,Low
EMP-1038,Employee 38,Engineering,Software Engineer,2023-02-26,139462,2,29,Low
